work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,se,ft,director of data science,168000,usd,168000,jp,0,jp,s
2021,mi,ft,data scientist,150000,usd,150000,us,100,us,m
2021,mi,ft,data scientist,95000,cad,75774,ca,100,ca,l
2021,en,ft,data scientist,13400,usd,13400,ua,100,ua,l
2021,se,ft,data science manager,144000,usd,144000,us,100,us,l
2021,se,ft,data science engineer,159500,cad,127221,ca,50,ca,l
2021,mi,ft,data scientist,160000,sgd,119059,sg,100,il,m
2021,mi,ft,applied machine learning scientist,423000,usd,423000,us,50,us,l
2021,se,ft,data analytics manager,120000,usd,120000,us,100,us,m
2021,en,ft,machine learning engineer,125000,usd,125000,us,100,us,s
2021,ex,ft,head of data,230000,usd,230000,ru,50,ru,l
2021,ex,ft,head of data science,85000,usd,85000,ru,0,ru,m
2021,mi,ft,data engineer,24000,eur,28369,mt,50,mt,l
2021,en,ft,data science consultant,54000,eur,63831,de,50,de,l
2021,ex,ft,director of data science,110000,eur,130026,de,50,de,m
2021,se,ft,data specialist,165000,usd,165000,us,100,us,l
2021,en,ft,data engineer,80000,usd,80000,us,100,us,l
2021,ex,ft,director of data science,250000,usd,250000,us,0,us,l
2021,en,ft,bi data analyst,55000,usd,55000,us,50,us,s
2021,mi,ft,data architect,150000,usd,150000,us,100,us,l
2021,mi,ft,data architect,170000,usd,170000,us,100,us,l
2021,mi,ft,data engineer,60000,gbp,82528,gb,100,gb,l
2021,en,ft,data analyst,60000,usd,60000,us,100,us,s
2021,se,ft,principal data scientist,235000,usd,235000,us,100,us,l
2021,se,ft,research scientist,51400,eur,60757,pt,50,pt,l
2021,se,ft,data engineering manager,174000,usd,174000,us,100,us,l
2021,mi,ft,data scientist,58000,mxn,2859,mx,0,mx,s
2021,mi,ft,data scientist,30400000,clp,40038,cl,100,cl,l
2021,en,ft,machine learning engineer,81000,usd,81000,us,50,us,s
2021,mi,ft,data scientist,420000,inr,5679,in,100,us,s
2021,mi,ft,big data engineer,1672000,inr,22611,in,0,in,l
2021,mi,ft,data scientist,76760,eur,90734,de,50,de,l
2021,mi,ft,data engineer,22000,eur,26005,ro,0,us,l
2021,se,ft,finance data analyst,45000,gbp,61896,gb,50,gb,l
2021,mi,fl,machine learning scientist,12000,usd,12000,pk,50,pk,m
2021,mi,ft,data engineer,4000,usd,4000,ir,100,ir,m
2021,se,ft,data analytics engineer,50000,usd,50000,vn,100,gb,m
2021,ex,ft,data science consultant,59000,eur,69741,fr,100,es,s
2021,se,ft,data engineer,65000,eur,76833,ro,50,gb,s
2021,mi,ft,machine learning engineer,74000,usd,74000,jp,50,jp,s
2021,se,ft,data science manager,152000,usd,152000,us,100,fr,l
2021,en,ft,machine learning engineer,21844,usd,21844,co,50,co,m
2021,mi,ft,big data engineer,18000,usd,18000,md,0,md,s
2021,se,ft,data science manager,174000,usd,174000,us,100,us,l
2021,se,ft,research scientist,120500,cad,96113,ca,50,ca,l
2021,mi,ft,data scientist,147000,usd,147000,us,50,us,l
2021,en,ft,bi data analyst,9272,usd,9272,ke,100,ke,s
2021,se,ft,machine learning engineer,1799997,inr,24342,in,100,in,l
2021,se,ft,data science manager,4000000,inr,54094,in,50,us,l
2021,en,ft,data science consultant,90000,usd,90000,us,100,us,s
2021,mi,ft,data scientist,52000,eur,61467,de,50,at,m
2021,se,ft,machine learning infrastructure engineer,195000,usd,195000,us,100,us,m
2021,mi,ft,data scientist,32000,eur,37825,es,100,es,l
2021,se,ft,research scientist,50000,usd,50000,fr,100,us,s
2021,mi,ft,data scientist,160000,usd,160000,us,100,us,l
2021,mi,ft,data scientist,69600,brl,12901,br,0,br,s
2021,se,ft,machine learning engineer,200000,usd,200000,us,100,us,l
2021,se,ft,data engineer,165000,usd,165000,us,0,us,m
2021,mi,fl,data engineer,20000,usd,20000,it,0,us,l
2021,se,ft,data analytics manager,120000,usd,120000,us,0,us,l
2021,mi,ft,machine learning engineer,21000,eur,24823,si,50,si,l
2021,mi,ft,research scientist,48000,eur,56738,fr,50,fr,s
2021,mi,ft,data engineer,48000,gbp,66022,hk,50,gb,s
2021,en,ft,big data engineer,435000,inr,5882,in,0,ch,l
2021,en,ft,machine learning engineer,21000,eur,24823,de,50,de,m
2021,se,ft,principal data engineer,185000,usd,185000,us,100,us,l
2021,en,pt,computer vision engineer,180000,dkk,28609,dk,50,dk,s
2021,mi,ft,data scientist,76760,eur,90734,de,50,de,l
2021,mi,ft,machine learning engineer,75000,eur,88654,be,100,be,m
2021,se,ft,data analytics manager,140000,usd,140000,us,100,us,l
2021,mi,ft,machine learning engineer,180000,pln,46597,pl,100,pl,l
2021,mi,ft,data scientist,85000,gbp,116914,gb,50,gb,l
2021,mi,ft,data scientist,2500000,inr,33808,in,0,in,m
2021,mi,ft,data scientist,40900,gbp,56256,gb,50,gb,l
2021,se,ft,machine learning scientist,225000,usd,225000,us,100,ca,l
2021,ex,ct,principal data scientist,416000,usd,416000,us,100,us,s
2021,se,ft,data scientist,110000,cad,87738,ca,100,ca,s
2021,mi,ft,data scientist,75000,eur,88654,de,50,de,l
2021,se,ft,data scientist,135000,usd,135000,us,0,us,l
2021,se,ft,data analyst,90000,cad,71786,ca,100,ca,m
2021,en,ft,big data engineer,1200000,inr,16228,in,100,in,l
2021,se,ft,ml engineer,256000,usd,256000,us,100,us,s
2021,se,ft,director of data engineering,200000,usd,200000,us,100,us,l
2021,se,ft,data analyst,200000,usd,200000,us,100,us,l
2021,mi,ft,data architect,180000,usd,180000,us,100,us,l
2021,mi,ft,head of data science,110000,usd,110000,us,0,us,s
2021,mi,ft,research scientist,80000,cad,63810,ca,100,ca,m
2021,mi,ft,data scientist,39600,eur,46809,es,100,es,m
2021,en,ft,data scientist,4000,usd,4000,vn,0,vn,m
2021,en,ft,data engineer,1600000,inr,21637,in,50,in,m
2021,se,ft,data scientist,130000,cad,103691,ca,100,ca,l
2021,mi,ft,data analyst,80000,usd,80000,us,100,us,l
2021,mi,ft,data engineer,110000,usd,110000,us,100,us,l
2021,se,ft,data scientist,165000,usd,165000,us,100,us,l
2021,en,ft,ai scientist,1335000,inr,18053,in,100,as,s
2021,mi,ft,data engineer,52500,gbp,72212,gb,50,gb,l
2021,en,ft,data scientist,31000,eur,36643,fr,50,fr,l
2021,mi,ft,data engineer,108000,try,12103,tr,0,tr,m
2021,se,ft,data engineer,70000,gbp,96282,gb,50,gb,l
2021,se,ft,principal data analyst,170000,usd,170000,us,100,us,m
2021,mi,ft,data scientist,115000,usd,115000,us,50,us,l
2021,en,ft,data scientist,90000,usd,90000,us,100,us,s
2021,ex,ft,principal data engineer,600000,usd,600000,us,100,us,l
2021,en,ft,data scientist,2100000,inr,28399,in,100,in,m
2021,mi,ft,data analyst,93000,usd,93000,us,100,us,l
2021,se,ft,big data architect,125000,cad,99703,ca,50,ca,m
2021,mi,ft,data engineer,200000,usd,200000,us,100,us,l
2021,se,ft,principal data scientist,147000,eur,173762,de,100,de,m
2021,se,ft,machine learning engineer,185000,usd,185000,us,50,us,l
2021,ex,ft,director of data science,120000,eur,141846,de,0,de,l
2021,mi,ft,data scientist,130000,usd,130000,us,50,us,l
2021,se,ft,data analyst,54000,eur,63831,de,50,de,l
2021,mi,ft,data scientist,1250000,inr,16904,in,100,in,s
2021,se,ft,machine learning engineer,4900000,inr,66265,in,0,in,l
2021,mi,ft,data scientist,21600,eur,25532,rs,100,de,s
2021,se,ft,lead data engineer,160000,usd,160000,pr,50,us,s
2021,mi,ft,data engineer,93150,usd,93150,us,0,us,m
2021,mi,ft,data engineer,111775,usd,111775,us,0,us,m
2021,mi,ft,data engineer,250000,try,28016,tr,100,tr,m
2021,en,ft,data engineer,55000,eur,65013,de,50,de,m
2021,en,ft,data engineer,72500,usd,72500,us,100,us,l
2021,se,ft,computer vision engineer,102000,brl,18907,br,0,br,m
2021,en,ft,data science consultant,65000,eur,76833,de,0,de,l
2021,en,ft,machine learning engineer,85000,usd,85000,nl,100,de,s
2021,se,ft,data scientist,65720,eur,77684,fr,50,fr,m
2021,en,ft,data scientist,100000,usd,100000,us,100,us,m
2021,en,ft,data scientist,58000,usd,58000,us,50,us,l
2021,se,ft,ai scientist,55000,usd,55000,es,100,es,l
2021,se,ft,data scientist,180000,try,20171,tr,50,tr,l
2021,en,ft,business data analyst,50000,eur,59102,lu,100,lu,l
2021,mi,ft,data engineer,112000,usd,112000,us,100,us,l
2021,en,ft,research scientist,100000,usd,100000,je,0,cn,l
2021,mi,pt,data engineer,59000,eur,69741,nl,100,nl,l
2021,se,ct,staff data scientist,105000,usd,105000,us,100,us,m
2021,mi,ft,research scientist,69999,usd,69999,cz,50,cz,l
2021,se,ft,data science manager,7000000,inr,94665,in,50,in,l
2021,se,ft,head of data,87000,eur,102839,si,100,si,l
2021,mi,ft,data scientist,109000,usd,109000,us,50,us,l
2021,mi,ft,machine learning engineer,43200,eur,51064,it,50,it,l
2022,se,ft,data engineer,135000,usd,135000,us,100,us,m
2022,se,ft,data analyst,155000,usd,155000,us,100,us,m
2022,se,ft,data analyst,120600,usd,120600,us,100,us,m
2022,mi,ft,data scientist,130000,usd,130000,us,0,us,m
2022,mi,ft,data scientist,90000,usd,90000,us,0,us,m
2022,mi,ft,data engineer,170000,usd,170000,us,100,us,m
2022,mi,ft,data engineer,150000,usd,150000,us,100,us,m
2022,se,ft,data analyst,102100,usd,102100,us,100,us,m
2022,se,ft,data analyst,84900,usd,84900,us,100,us,m
2022,se,ft,data scientist,136620,usd,136620,us,100,us,m
2022,se,ft,data scientist,99360,usd,99360,us,100,us,m
2022,se,ft,data scientist,90000,gbp,117789,gb,0,gb,m
2022,se,ft,data scientist,80000,gbp,104702,gb,0,gb,m
2022,se,ft,data scientist,146000,usd,146000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,en,ft,data engineer,40000,gbp,52351,gb,100,gb,m
2022,se,ft,data analyst,99000,usd,99000,us,0,us,m
2022,se,ft,data analyst,116000,usd,116000,us,0,us,m
2022,mi,ft,data analyst,106260,usd,106260,us,0,us,m
2022,mi,ft,data analyst,126500,usd,126500,us,0,us,m
2022,ex,ft,data engineer,242000,usd,242000,us,100,us,m
2022,ex,ft,data engineer,200000,usd,200000,us,100,us,m
2022,mi,ft,data scientist,50000,gbp,65438,gb,0,gb,m
2022,mi,ft,data scientist,30000,gbp,39263,gb,0,gb,m
2022,mi,ft,data engineer,60000,gbp,78526,gb,0,gb,m
2022,mi,ft,data engineer,40000,gbp,52351,gb,0,gb,m
2022,se,ft,data scientist,165220,usd,165220,us,100,us,m
2022,en,ft,data engineer,35000,gbp,45807,gb,100,gb,m
2022,se,ft,data scientist,120160,usd,120160,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data engineer,181940,usd,181940,us,0,us,m
2022,se,ft,data engineer,132320,usd,132320,us,0,us,m
2022,se,ft,data engineer,220110,usd,220110,us,0,us,m
2022,se,ft,data engineer,160080,usd,160080,us,0,us,m
2022,se,ft,data scientist,180000,usd,180000,us,0,us,l
2022,se,ft,data scientist,120000,usd,120000,us,0,us,l
2022,se,ft,data analyst,124190,usd,124190,us,100,us,m
2022,ex,ft,data analyst,130000,usd,130000,us,100,us,m
2022,ex,ft,data analyst,110000,usd,110000,us,100,us,m
2022,se,ft,data analyst,170000,usd,170000,us,100,us,m
2022,mi,ft,data analyst,115500,usd,115500,us,100,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data engineer,165400,usd,165400,us,100,us,m
2022,se,ft,data engineer,132320,usd,132320,us,100,us,m
2022,mi,ft,data analyst,167000,usd,167000,us,100,us,m
2022,se,ft,data engineer,243900,usd,243900,us,100,us,m
2022,se,ft,data analyst,136600,usd,136600,us,100,us,m
2022,se,ft,data analyst,109280,usd,109280,us,100,us,m
2022,se,ft,data engineer,128875,usd,128875,us,100,us,m
2022,se,ft,data engineer,93700,usd,93700,us,100,us,m
2022,ex,ft,head of data science,224000,usd,224000,us,100,us,m
2022,ex,ft,head of data science,167875,usd,167875,us,100,us,m
2022,ex,ft,analytics engineer,175000,usd,175000,us,100,us,m
2022,se,ft,data engineer,156600,usd,156600,us,100,us,m
2022,se,ft,data engineer,108800,usd,108800,us,0,us,m
2022,se,ft,data scientist,95550,usd,95550,us,0,us,m
2022,se,ft,data engineer,113000,usd,113000,us,0,us,l
2022,se,ft,data analyst,135000,usd,135000,us,100,us,m
2022,se,ft,data science manager,161342,usd,161342,us,100,us,m
2022,se,ft,data science manager,137141,usd,137141,us,100,us,m
2022,se,ft,data scientist,167000,usd,167000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,se,ft,data engineer,60000,gbp,78526,gb,0,gb,m
2022,se,ft,data engineer,50000,gbp,65438,gb,0,gb,m
2022,se,ft,data scientist,150000,usd,150000,us,0,us,m
2022,se,ft,data scientist,211500,usd,211500,us,100,us,m
2022,se,ft,data architect,192400,usd,192400,ca,100,ca,m
2022,se,ft,data architect,90700,usd,90700,ca,100,ca,m
2022,se,ft,data analyst,130000,usd,130000,ca,100,ca,m
2022,se,ft,data analyst,61300,usd,61300,ca,100,ca,m
2022,se,ft,data analyst,130000,usd,130000,ca,100,ca,m
2022,se,ft,data analyst,61300,usd,61300,ca,100,ca,m
2022,se,ft,data engineer,160000,usd,160000,us,0,us,l
2022,se,ft,data scientist,138600,usd,138600,us,100,us,m
2022,se,ft,data engineer,136000,usd,136000,us,0,us,m
2022,mi,ft,data analyst,58000,usd,58000,us,0,us,s
2022,ex,ft,analytics engineer,135000,usd,135000,us,100,us,m
2022,se,ft,data scientist,170000,usd,170000,us,100,us,m
2022,se,ft,data scientist,123000,usd,123000,us,100,us,m
2022,se,ft,machine learning engineer,189650,usd,189650,us,0,us,m
2022,se,ft,machine learning engineer,164996,usd,164996,us,0,us,m
2022,mi,ft,etl developer,50000,eur,54957,gr,0,gr,m
2022,mi,ft,etl developer,50000,eur,54957,gr,0,gr,m
2022,ex,ft,lead data engineer,150000,cad,118187,ca,100,ca,s
2022,se,ft,data analyst,132000,usd,132000,us,0,us,m
2022,se,ft,data engineer,165400,usd,165400,us,100,us,m
2022,se,ft,data architect,208775,usd,208775,us,100,us,m
2022,se,ft,data architect,147800,usd,147800,us,100,us,m
2022,se,ft,data engineer,136994,usd,136994,us,100,us,m
2022,se,ft,data engineer,101570,usd,101570,us,100,us,m
2022,se,ft,data analyst,128875,usd,128875,us,100,us,m
2022,se,ft,data analyst,93700,usd,93700,us,100,us,m
2022,ex,ft,head of machine learning,6000000,inr,79039,in,50,in,l
2022,se,ft,data engineer,132320,usd,132320,us,100,us,m
2022,en,ft,machine learning engineer,28500,gbp,37300,gb,100,gb,l
2022,se,ft,data analyst,164000,usd,164000,us,0,us,m
2022,se,ft,data engineer,155000,usd,155000,us,100,us,m
2022,mi,ft,machine learning engineer,95000,gbp,124333,gb,0,gb,m
2022,mi,ft,machine learning engineer,75000,gbp,98158,gb,0,gb,m
2022,mi,ft,ai scientist,120000,usd,120000,us,0,us,m
2022,se,ft,data analyst,112900,usd,112900,us,100,us,m
2022,se,ft,data analyst,90320,usd,90320,us,100,us,m
2022,se,ft,data analytics manager,145000,usd,145000,us,100,us,m
2022,se,ft,data analytics manager,105400,usd,105400,us,100,us,m
2022,mi,ft,machine learning engineer,80000,eur,87932,fr,100,de,m
2022,mi,ft,data engineer,90000,gbp,117789,gb,0,gb,m
2022,se,ft,data scientist,215300,usd,215300,us,100,us,l
2022,se,ft,data scientist,158200,usd,158200,us,100,us,l
2022,se,ft,data engineer,209100,usd,209100,us,100,us,l
2022,se,ft,data engineer,154600,usd,154600,us,100,us,l
2022,se,ft,data analyst,115934,usd,115934,us,0,us,m
2022,se,ft,data analyst,81666,usd,81666,us,0,us,m
2022,se,ft,data engineer,175000,usd,175000,us,100,us,m
2022,mi,ft,data engineer,75000,gbp,98158,gb,0,gb,m
2022,mi,ft,data analyst,58000,usd,58000,us,0,us,s
2022,se,ft,data engineer,183600,usd,183600,us,100,us,l
2022,mi,ft,data analyst,40000,gbp,52351,gb,100,gb,m
2022,se,ft,data scientist,180000,usd,180000,us,100,us,m
2022,mi,ft,data scientist,55000,gbp,71982,gb,0,gb,m
2022,mi,ft,data scientist,35000,gbp,45807,gb,0,gb,m
2022,mi,ft,data engineer,60000,eur,65949,gr,100,gr,m
2022,mi,ft,data engineer,45000,eur,49461,gr,100,gr,m
2022,mi,ft,data engineer,60000,gbp,78526,gb,100,gb,m
2022,mi,ft,data engineer,45000,gbp,58894,gb,100,gb,m
2022,se,ft,data scientist,260000,usd,260000,us,100,us,m
2022,se,ft,data science engineer,60000,usd,60000,ar,100,mx,l
2022,mi,ft,data engineer,63900,usd,63900,us,0,us,m
2022,mi,ft,machine learning scientist,160000,usd,160000,us,100,us,l
2022,mi,ft,machine learning scientist,112300,usd,112300,us,100,us,l
2022,mi,ft,data science manager,241000,usd,241000,us,100,us,m
2022,mi,ft,data science manager,159000,usd,159000,us,100,us,m
2022,se,ft,data scientist,180000,usd,180000,us,0,us,m
2022,se,ft,data scientist,80000,usd,80000,us,0,us,m
2022,mi,ft,data engineer,82900,usd,82900,us,0,us,m
2022,se,ft,data engineer,100800,usd,100800,us,100,us,l
2022,mi,ft,data engineer,45000,eur,49461,es,100,es,m
2022,se,ft,data scientist,140400,usd,140400,us,0,us,l
2022,mi,ft,data analyst,30000,gbp,39263,gb,100,gb,m
2022,mi,ft,data analyst,40000,eur,43966,es,100,es,m
2022,mi,ft,data analyst,30000,eur,32974,es,100,es,m
2022,mi,ft,data engineer,80000,eur,87932,es,100,es,m
2022,mi,ft,data engineer,70000,eur,76940,es,100,es,m
2022,mi,ft,data engineer,80000,gbp,104702,gb,100,gb,m
